sku,concepto,unidad,precio,coef,Hmax
GYPSOTECH-AQUA-STD-13,Placa mixta AQUA+STD 13,m2,8.10,2.05,3.0
MONTANTE-70-35-Z1,Montante 70/35 Z1,ml,0.593,2.8,3.0
RAIL-70-30-Z1,Rail 70 Z1,ml,0.477,0.7,3.0
TORN-PM-25,Tornillo PM 3.5x25,ud,0.014,12,3.0
TORN-PM-35,Tornillo PM 3.5x35,ud,0.017,8,3.0
TORN-MM-95,Tornillo MM 3.5x9.5,ud,0.014,3,3.0
CINTA-J-150,Cinta juntas papel,ml,0.056,2.0,3.0
CINTA-GV-30,Cinta guardavivos,ml,0.579,0.3,3.0
BANDA-E-70,Banda estanca 70 mm,ml,0.581,0.6,3.0
MAS-FJ2H,FASSAJOINT 2H cara AQUA,kg,1.327,0.20,3.0
MAS-JN,Pasta JN cara STD,kg,1.33,0.20,3.0

